Date,Tweets
2015-07-25,21076.0
2015-07-26,15592.0
2015-07-27,30972.0
2015-07-28,33519.0
2015-07-29,37726.0
2015-07-30,33018.0
2015-07-31,27789.0
2015-08-01,26960.0
2015-08-02,24294.0
2015-08-03,35036.0
2015-08-04,34486.0
2015-08-05,31470.0
2015-08-06,35658.0
2015-08-07,47467.0
2015-08-08,29031.0
2015-08-09,27132.0
2015-08-10,27744.0
2015-08-11,26653.0
2015-08-12,29241.0
2015-08-13,31087.0
2015-08-14,30737.0
2015-08-15,28722.0
2015-08-16,24050.0
2015-08-17,37040.0
2015-08-18,28767.0
2015-08-19,28539.0
2015-08-20,36462.0
2015-08-21,39012.0
2015-08-22,34967.0
2015-08-23,27692.0
2015-08-24,34342.0
2015-08-25,37941.0
2015-08-26,33987.0
2015-08-27,34558.0
2015-08-28,39945.0
2015-08-29,14768.0
2015-08-30,32134.0
2015-08-31,35949.0
2015-09-01,37021.0
2015-09-02,39013.0
2015-09-03,42474.0
2015-09-04,36321.0
2015-09-05,29023.0
2015-09-06,35583.0
2015-09-07,38792.0
2015-09-08,46889.0
2015-09-09,16909.0
2015-09-10,37882.0
2015-09-11,38518.0
2015-09-12,32205.0
2015-09-13,40350.0
2015-09-14,16262.0
2015-09-15,20470.0
2015-09-16,45085.0
2015-09-17,33180.0
2015-09-18,31747.0
2015-09-19,39778.0
2015-09-20,65535.0
2015-09-21,59563.0
2015-09-22,82378.0
2015-09-23,42946.0
2015-09-24,46527.0
2015-09-25,41322.0
2015-09-26,41039.0
2015-09-27,30532.0
2015-09-28,35355.0
2015-09-29,40135.0
2015-09-30,43080.0
2015-10-01,41189.0
2015-10-02,35561.0
2015-10-03,49494.0
2015-10-04,33909.0
2015-10-05,32712.0
2015-10-06,39541.0
2015-10-07,38773.0
2015-10-08,35461.0
2015-10-09,30426.0
2015-10-10,29433.0
2015-10-11,27940.0
2015-10-12,34146.0
2015-10-13,31813.0
2015-10-14,28030.0
2015-10-15,37296.0
2015-10-16,36070.0
2015-10-17,31701.0
2015-10-18,25220.0
2015-10-19,35703.0
2015-10-20,42914.0
2015-10-21,38896.0
2015-10-22,44027.0
2015-10-23,37326.0
2015-10-24,36013.0
2015-10-25,30139.0
2015-10-26,37096.0
2015-10-27,50484.0
2015-10-28,45782.0
2015-10-29,45960.0
2015-10-30,32577.0
2015-10-31,35257.0
2015-11-01,31402.0
2015-11-02,35962.0
2015-11-03,42652.0
2015-11-04,54768.0
2015-11-05,51405.0
2015-11-06,43351.0
2015-11-07,36433.0
2015-11-08,39567.0
2015-11-09,45103.0
2015-11-10,43853.0
2015-11-11,34774.0
2015-11-12,38371.0
2015-11-13,35364.0
